,Speciality,address,clinic,doctor-name,doctor_image,telephone
749,['Aesthetic Doctor'],"P-G-022, PJ Centrestage, Jalan 13/1, Seksyen 13, Petaling Jaya, 46200 Selangor. Malaysia",Klinik Dr Inder,['Dr Inder'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTlkZGFkYzk1MjFiZi5qcGc='],+60 379321818
750,['GP/Family Doctor'],"Batu 14 1/2, Jalan Jasin, 77300 Merlimau, Melaka",Klinik Dr Jamaludin Dan Surgeri,['Jamaludin Bin Baharom'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 62635887
751,['GP/Family Doctor'],"1-11, Jalan Dagang B/3a, Taman Dagang, Ampang","Klinik Dr Khalid & Dr Wan Julia, Jalan Dagang Ampang",['Hj Abd Khalid Bin Jaafar'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 342703257
752,['GP/Family Doctor'],"15, Jalan Kosas 1/2, Taman Kosas, Ampang","Klinik Dr Khalid & Dr Wan Julia, Taman Kosas Ampang",['Hj Abd Khalid Bin Jaafar'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 342931535
753,['GP/Family Doctor'],"11, Jalan 11, Taman Putra, Ampang","Klinik Dr Khalid & Dr Wan Julia, Taman Putra Ampang",['Hj Abd Khalid Bin Jaafar'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 342930714
754,['Aesthetic Doctor'],"11, Jalan Saga, Taman Sri Saga, Kajang Selangor 43000 Malaysia.",Klinik Dr Lo,['Lo Kok Wai'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTY4MzRkN2Q0ZTA4OS5qcGc='],+60 387362623
755,['GP/Family Doctor'],"No. 118, Lorong Bukit Panchor 2, Taman Bukit Panchor, 14300 Nibong Tebal, Pulau Pinang",Klinik Dr Maria,['Maria Affida Bt Ismail @ Yahya'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 45934641
756,['GP/Family Doctor'],"No.36, Jalan Pjs 3/46, Sri Manja, Square One, Taman Sri Manja, Petaling Jaya, 46000, Selangor Darul Ehsan",Klinik Dr Maria,['Dr Maria Devi A/p Jnan Sekhanam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60377733247
757,['GP/Family Doctor'],"G-1-56, Jalan Sp 11/3, Seri Pristana, Sg Buloh, 47000, Selangor Darul Ehsan",Klinik Dr Muiz (seri Pristana),"[""Dr Mohamad Mu'izuddin Bin Senin""]",['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60360396653
758,['GP/Family Doctor'],"No. 17, Jalan Bm 7/19, Bandar Bukit Mahkota, 43000 Kajang, Selangor",Klinik Dr Nadira,['Nadira Bt Mohamed Nordin'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 389280575
759,['GP/Family Doctor'],"Lot 24561, Arma Square, Jalan Besar, Sungai Merab Luar, Kajang, 43000, Selangor Darul Ehsan",Klinik Dr Najwa (sg Merab),['Dr. Nazelin Binti Zamani'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-89258721
760,['GP/Family Doctor'],"B5-G-01, Hata Square, Jalan Mewah 1/1, Pandan Mewah, 68000 Ampang, Selangor",Klinik Dr Nay Ali,['Mohammed Ali Hassan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 342872020
761,['GP/Family Doctor'],"No.45g, Jalan Pulau Lumut, Pu 10/P, Seksyen U10, 40150 Shah Alam, Selangor.",Klinik Dr Nurzawati,['Nurzawati Binti Zakaria'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 378318523
762,['GP/Family Doctor'],"53-G Jalan Mahkota Residence 1, Bandar Mahkota Cheras, 43000 Kajang, Selangor",Klinik Dr Nurzawati Bandar Mahkota Cheras,['Zaharah Abd Ghani'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 390117517
763,['GP/Family Doctor'],"No. 21, Jalan Indah 2/2, Taman Puchong Indah, Puchong, 47100, Selangor Darul Ehsan",Klinik Dr Puteri (puchong Indah),['Dr. Puteri Suraya Binti Yaakob'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-80682557
764,['GP/Family Doctor'],"Lot 1.20 Ground Floor, Medan Mara Jalan Raja Laut, 50350 Kuala Lumpur",Klinik Dr Rohaya,['Rohaya Masod'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 326920122
765,['GP/Family Doctor'],"15, Jalan Kristal K7/K, Seksyen 7, 40000 Shah Alam, Selangor",Klinik Dr Rosli,['Md Rosli B Sulaiman'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 355101707
766,['GP/Family Doctor'],"No. 2 Wisma Patani Baru, Jalan Kg. Baru, Sungai Petani 08000 Kedah",Klinik Dr Rosly,['Rosly Hj Ahmad'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 44218878
767,['GP/Family Doctor'],"No. 7, Jalan Balakong 27/7, Shah Alam, 40400, Selangor Darul Ehsan",Klinik Dr Sabariah (section 27),['Dr Ruzanna Binti Rosslan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-51911672
768,['GP/Family Doctor'],"No. 30g, Jalan Tps 1/2, Taman Pelangi Semenyih, Semenyih, 43500, Selangor Darul Ehsan",Klinik Dr Selvaa,['Selvaraja A/L Velusamy'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-87234592
769,['GP/Family Doctor'],"No. 139, Jalan Ss17/1a Subang Jaya, Ss 17, 47500 Selangor, Malaysia",Klinik Dr Sharan,['Sharan Kaur'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTc0MTc1ZjJlNWFhNi5QTkc='],+60 356129369
770,['GP/Family Doctor'],"No.29, Jalan Makyong 5a/ku5, Bandar Bukit Raja, Klang, 41050, Selangor Darul Ehsan",Klinik Dr Sharifah (bandar Bukit Raja),['Dr. Sharifah Bin Mohamad'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-33593554
771,['GP/Family Doctor'],"763 Ground Floor, 4 1/2 Miles Jalan Ipoh, 51200 Kuala Lumpur.",Klinik Dr Shashikala,['Ganesh Shashikala'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603 62514099
772,['GP/Family Doctor'],"No. 763, Batu 4 1/2, Jalan Ipoh, 51200 Kuala Lumpur",Klinik Dr Shasikala Sdn Bhd,['Shasikala A/P Ganesh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 361792786
773,['GP/Family Doctor'],"Lot 9 Block C, Lorong KK Taipan 2, Inanam, 88450 Kota Kinabalu, Sabah",Klinik Dr Wendy,['Alice Chin Oi Chu'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+6088 429129
774,['GP/Family Doctor'],"No. 21 Ground Floor, Tabuan Heights Commercial Centre, Kuching, Sarawak",Klinik Dr Wong Kai Siong,['Wong Kai Siong'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+6082451594
775,['GP/Family Doctor'],"No.5, Jalan Baiduri, Taman Baiduri, Banting, 42700, Selangor Darul Ehsan",Klinik Dr. Adib (banting),['Dr. Mohd Adib Bin Mohd Khailani'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-31801852
776,['GP/Family Doctor'],"16th Floor, Bangunan Ambank Group, No.55, Jalan Raja Chulan, Kuala Lumpur, 50200, Wilayah Persekutuan Kuala Lumpur",Klinik Dr. Azlina (bangunan Ambank),['Dr. Azlina Muharaini Binti Ismail'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-20721193
777,['GP/Family Doctor'],"922, Jalan Mawar 1, Taman Permint Jaya, Chendering 21080 Kuala Terengganu, Terengganu",Klinik Dr. Bazlan Shafie,['Bazlan Bin Mohamed @ Shafie'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 96173967
778,['GP/Family Doctor'],"2194, Jalan Bukit Minyak, Kawasan Perniagaan Asas Murni, 14100 Simpang Ampat, Pulau Pinang",Klinik Dr. Dashindar Singh,['Dashindar Singh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 45883817
779,['GP/Family Doctor'],"1514 Lorong Paid, Jalan Tunku Ibrahim, 05000 Alor Setar, Kedah",Klinik Dr. Fauzi,['Fauzi Bin Abdul Hamid'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+604 731 8278
780,['GP/Family Doctor'],"No.15, Jalan 2a/1. Off Jalan Ulu Yam, Bandar Baru Selayang, Fasa 2a, Batu Caves, 68100, Selangor Darul Ehsan",Klinik Dr. Fauziah (selayang),['Dr. Fauziah Binti Mohd Ameen'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-61890753
781,['GP/Family Doctor'],"No.27, Jalan Sungai Udang 20b/ks3, Jalan Sungai Udang, Klang, 41250, Selangor Darul Ehsan",Klinik Dr. Haryati (sungai Udang),['Dr. Mas Haryati Binti Masharuddin'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-33811817
782,['GP/Family Doctor'],"No.17, Jalan Haji Ab Samat 7a/ku13, Taman Seri Wangi, Kapar, 42200, Selangor Darul Ehsan",Klinik Dr. Jaafar Sdn Bhd (kapar),['Dr. Tee Kok Sang'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-33712304
783,['GP/Family Doctor'],"No.96, Jalan Tengku Kelana, Klang, 41200, Selangor Darul Ehsan",Klinik Dr. Jaafar Sdn Bhd (klang),['Dr Jaafar Thani Bin Jamaluddin'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-33719682 / 03-33719696
784,['GP/Family Doctor'],"Tingkat Bawah, Wisma Komas, Jalan Semenyih, Kajang, 43000, Selangor Darul Ehsan",Klinik Dr. Karim (semenyih),['Dr. Siti Aireena Binti Ab. Karim'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-87335993
785,['GP/Family Doctor'],"No.2428, Jalan E3/6a, Tamam Ehsan Kepong, Kepong, 52100, Wilayah Persekutuan Kuala Lumpur",Klinik Dr. Khalil (kepong),['Dr Khalil Bin Ramli'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-62724086
786,['GP/Family Doctor'],"No.7, Jalan Mutiara 5, Taman Mutiara, Dengkil, 43800, Selangor Darul Ehsan",Klinik Dr. Marisa & Rakan (dengkil),['Dr. Marisa Amilia Binti Ismail'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-87687791
787,['GP/Family Doctor'],"No.40, Jalan Chong Ah Peng, Tanjong Malim, 35900, Perak Darul Ridzuan",Klinik Dr. Mazlan (tanjung Malim),['Dr. Mazlan Bin Ismail'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+012-5414491
788,['GP/Family Doctor'],"No.19g, Jalan Pandan Indah 4/34, Pandan Indah, Kuala Lumpur, 55100, Wilayah Persekutuan Kuala Lumpur",Klinik Dr. Monty Sdn Bhd (pandan Indah),['Dr. Siva Selvan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-42971964
789,"['GP/Family Doctor, Aesthetic Doctor']","29, Jalan Puteri 2/1, Bandar Puteri, 47100 Puchong, Selangor, Malaysia",Klinik Dr. Paramjit Kaur & Alam Medic,['Paramjit Kaur A/P Naranjan Singh'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 380614151
790,['GP/Family Doctor'],"No.12, Jalan Berjuntai 1, Pusat Perniagaan Batang Berjuntai, Batang Berjuntai, 45600, Selangor Darul Ehsan",Klinik Dr. Rosli (batang Berjuntai),['Dr.zaini Bin Kanchil'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603-32717961
791,['GP/Family Doctor'],"No.1, Lorong Dendang Laut, Sasaran Jeram, Kuala Selangor, 45800, Selangor Darul Ehsan",Klinik Dr. Rosli (jeram),['Dr. Rosli'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603-32647961
792,['GP/Family Doctor'],"No.47, Jalan Pinang B 18/b, Seksyen 18, Shah Alam, 40000, Selangor Darul Ehsan",Klinik Dr. Rosli (seksyen 18),['Dr. Md Rosli Bin Sulaiman'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-55427488
793,['GP/Family Doctor'],"Lot 2399 Jalan 1a/3, Bandar Baru Sg Buloh, Shah Alam, Sungai Buloh, 47000, Selangor Darul Ehsan",Klinik Dr. Shamsuddin (bandar Baru Sungai Buloh),['Dr. Shamsuddin Bin Ibrahim'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-61565080
794,['GP/Family Doctor'],"No.10, Jalan Pjs 2d/1, Taman Medan, Petaling Jaya, 46000, Selangor Darul Ehsan",Klinik Dr. Sharifah Zubaidah (taman Medan),['Dr. Sharifah Zubaidah Binti Syed Mohamed'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-77725554
795,['GP/Family Doctor'],"No.22a-g, Jlaan Ppaj 1/1, Pusat Perdagangan Alam Jaya, Puncak Alam, 42300, Selangor Darul Ehsan",Klinik Dr. Suhaidi (puncak Alam),['Dr. Suhaida Binti Muhamad Sharif'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-60391959
796,['GP/Family Doctor'],"Level One, Menara Manulife, Jalan Gelenggang, Damansara Heights 50490, Kuala Lumpur","Klinik Drs. Abraham, George & Partners",['Tirupura Sundarie Duraisamy'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 320958182
797,['GP/Family Doctor'],"92, Jalan Pelabur A23/A, Seksyen 23, Shah Alam, Selangor",Klinik Duniamedik,['Saimah Abdul Ghani'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 355416816
798,['GP/Family Doctor'],"7 Jalan Usj 2/2c,47600 Uep Subang Jaya",Klinik Eastern,['Lee Yew Kwong'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 356328060
799,['GP/Family Doctor'],"7-g, Jalan Sekolah, Bandar Semenyih, Semenyih, 43500, Selangor Darul Ehsan",Klinik Eco Perdana (semenyih),['Dr Chin Wei Horng'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60387250000
800,['GP/Family Doctor'],"39, Medan Pulai Business Centre, 31300 Simpang Pulai, Perak",Klinik Edina,['Ramesh A/L Balakrishnan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNWM3Y2I5NTNjNzIzNC5qcGc='],+605 357 7819
801,"['Ear, Nose & Throat (ENT)', 'Aesthetic Doctor, GP/Family Doctor, Neurologist']","16-11-G, Jalan Jalil Perkasa 14,Aked Esplanad, Bukit Jalil, 57000 Kl",Klinik Elamedic,"['Elang Kumaran Krishnan', 'Kavita Kumar']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNWQwYjVhM2RkYmM1My5qcGVn']",+60 389939533
802,['GP/Family Doctor'],"No 36, Jalan Sri Perkasa 2/22, Taman Tampoi Utama, Johor Bharu, 81200, Johor Darul Takzim",Klinik Eli (tampoi),['Dr Emmella Devi A/p Srikumaran'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+6072412806
803,['GP/Family Doctor'],"No.9, Jalan Ehsan Perdana 7/ks5, Pelabuhan Klang, 42000, Selangor Darul Ehsan",Klinik Evergreen (pelabukan Klang),['Dr. Chern Jian Wei'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+603-31624680
804,['GP/Family Doctor'],"5, Jalan Wangsa Setia 1, Taman Wangsa Melawati, 53300 Kuala Lumpur,Malaysia",Klinik Famili,['Intan Baiduri Binti Yaakub'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 341435067
805,['GP/Family Doctor'],"No.44,, Jalan Medan Batu Caves 1, Batu Caves, 68100, Selangor Darul Ehsan",Klinik Famili (batu Caves),['Dr. Mohd Khalid Bin Abu Hassan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-61858651
806,['GP/Family Doctor'],"No. 33-a, Jalan Parkland Semenyih 1, Parkland Semenyih, Beranang, 43700, Selangor Darul Ehsan",Klinik Famili (beranang),"[""Dr. Nor'ashikin Binti Alias""]",['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-87254623
807,['GP/Family Doctor'],"No.5, Jalan Orkid 2a, Section Bs2, Bukit Sentosa, Rawang, Selangor",Klinik Famili (Bukit Sentosa),['Naveen Munusamy a/l Munusamy'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 360281420
808,['GP/Family Doctor'],"No. 1-g, Jalan Besar Mantin, Mantin, 71700, Negeri Sembilan Darul Khusus",Klinik Famili (mantin),['Dr. Muhammad Ridha B. Abdullah @ Ramesh Durairaynam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+06-7584339
809,"['GP/Family Doctor', 'GP/Family Doctor']","7, Jalan Cengal 4, Taman Impian Ehsan 43300 Balakong, Selangor",Klinik Famili (Taman Impian Ehsan),"['Abdul Aziz Bin Abu Bakar', 'Mohd Faizal Bin Zakaria']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+60 389626815
810,['GP/Family Doctor'],"No. 1-g, Jalan Kajang Impian 2/1, Taman Kajang Impian, Bandar Baru Bangi, 43650, Selangor Darul Ehsan",Klinik Famili (taman Kajang Impian),['Dr. Edward Ariaratnam A/l C Jeremiah'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-8912 6032
811,['GP/Family Doctor'],"26-1, Jalan Puteri 7/8, Bandar Puteri, 47100 Puchong, Selangor",Klinik Famili Bandar Puteri,['Shahidah Binti Shueb'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 380609984
812,['GP/Family Doctor'],"23 (Ground Floor) Jalan 8/146, Bandar Tasik Selatan, 57000 Kuala Lumpur",Klinik Famili Bts Sdn Bhd,['Datin Sri Maison Binti Shaik Abdul Rahman'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 390596341
813,['GP/Family Doctor'],"No.29g, Jalan Elektron Nu16/N, Seksyen U16, Denai Alam, 40160 Shah Alam, Selangor.",Klinik Famili Denai Alam,['Zainal Abidin Bin Ahmad'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTczYThhMzhkZDNkMy5qcGc='],+60 377345373
814,['GP/Family Doctor'],"No.99-1, Jalan Usj 21/10, Uep Subang Jaya, Subang Jaya, 47630, Selangor Darul Ehsan",Klinik Famili Emma (subang Jaya),['Dr. Emma Fazilah Zulkifli'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-80234925
815,['GP/Family Doctor'],"14, Jalan Wangsa Delima 6, Pusat Bandar Wangsa Maju, Kuala Lumpur, 53300, Wilayah Persekutuan Kuala Lumpur",Klinik Famili Gravidities,['Dr Nurzarina Bt Abdul Rahman'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60341444265
816,['GP/Family Doctor'],"No.11, Jalan Gemilang 1, Pusat Perdagangan Gemilang, Sepang, Selangor.",Klinik Famili Leiya,['Nor Alia Binti Mohamad'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNTZhOWY0ODJlMjFhNS5qcGc='],+60 387053401
817,['GP/Family Doctor'],"26, Jalan Tajuh 27/29, Seksyen 27, 40400 Shah Alam, Selangor",Klinik Famili Shah Alam,['Fadilah Bt Majid'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 351912396
818,['GP/Family Doctor'],"Lot 21, Ground Floor, Jalan Wan Kadir 2, Ttdi, Kuala Lumpur",Klinik Famili Ttdi,['Nordhiah Jury Bt Mohd Naha Jury'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 377276671
819,['GP/Family Doctor'],"No.j-g-14, Jalan Pjs 2, Taman Medan Jaya, Jalan Klang Lama, Petaling Jaya, 46000, Selangor Darul Ehsan",Klinik Famili Ttdi (taman Medan),['Dr. V A Egamparam Pillai A/l V Arumugam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-77859805
820,['GP/Family Doctor'],"No.7, Jalan Sm 10, Taman Sri Manja, Batu 7, Jalan Klang Lama, Petaling Jaya, 46000, Selangor Darul Ehsan",Klinik Famili Ttdi (taman Sri Manja),['Dr. Mohd Rafee Bin Ismail'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-77855805
821,['GP/Family Doctor'],"Ground Floor, Wisma Lyl, No 12, Jalan 51 A/223, Petaling Jaya, Selangor",Klinik Famili Ttdi Wisma Lyl,['Emy Farine Bt Anwar'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 379540258
822,['GP/Family Doctor'],"F-12, Wisma Scope International, No 2, Jalan Teknologi Malaysia, Bukit Jalil, Kuala Lumpur",Klinik Famili Ttdi Wisma Scope International,['Irda Sherina Moha'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+60 389400998
